action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000308_cleaning windows_to_golf driving_T9c_KZVHP4E_000053_000063_bg_IKonv-whHXo_000001_000011,cleaning windows,golf driving,golf driving,cleaning windows,writing,playing basketball,deadlifting,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000309_dribbling basketball_to_playing guitar_oxY1iBy5daQ_000038_000048_bg_0ELymxVtE0g_000056_000066,dribbling basketball,playing guitar,dribbling basketball,playing guitar,brushing hair,cleaning windows,playing accordion,1,2,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000310_playing accordion_to_dunking basketball_ABnQrFG971o_000007_000017_bg_kA60MQ3u7h8_000003_000013,playing accordion,dunking basketball,dunking basketball,playing accordion,archery,reading book,smoking,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000311_sweeping floor_to_hitting baseball_ui--UqzKuZ4_000023_000033_bg_e8uB0GZsVOQ_000034_000044,sweeping floor,hitting baseball,sweeping floor,hitting baseball,golf driving,punching person (boxing),playing saxophone,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000312_brushing teeth_to_cleaning windows_CfyiD_4zIyY_000113_000123_bg_UPHhBfx0L34_000008_000018,brushing teeth,cleaning windows,brushing teeth,dribbling basketball,shooting goal (soccer),archery,cleaning windows,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000313_eating cake_to_playing bass guitar_f18MSXmOtLo_000029_000039_bg_HqsAvuo5XhA_000059_000069,eating cake,playing bass guitar,eating cake,playing bass guitar,cleaning windows,shooting goal (soccer),archery,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000314_climbing ladder_to_eating cake_HCKNmc0X0kQ_000001_000011_bg_NhRN8LsNJfc_000064_000074,climbing ladder,eating cake,clean and jerk,golf driving,eating cake,climbing ladder,juggling balls,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000315_playing saxophone_to_playing trumpet_uukFI6uF-Uk_000045_000055_bg_qAl4lWHJHPE_000007_000017,playing saxophone,playing trumpet,playing trumpet,playing saxophone,punching person (boxing),playing tennis,shooting basketball,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000316_eating ice cream_to_playing accordion_DMHdlJYzL9E_000050_000060_bg_GgOCTNRyCpg_000002_000012,eating ice cream,playing accordion,playing piano,eating ice cream,shooting goal (soccer),playing accordion,skipping rope,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000317_drinking_to_playing trumpet_xyUeMz9bAsA_000154_000164_bg_hmzR04qjaz8_000008_000018,drinking,playing trumpet,playing trumpet,smoking,drinking,opening bottle,archery,3,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000318_golf driving_to_tying tie_LaaPuezxneg_000078_000088_bg_SaJkIGvXaEs_000063_000073,golf driving,tying tie,playing saxophone,juggling balls,playing tennis,tying tie,golf driving,5,4,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000319_hitting baseball_to_eating ice cream_bh6Cvz2orzQ_000186_000196_bg_Vz_qb4j5Ols_000016_000026,hitting baseball,eating ice cream,hitting baseball,catching or throwing baseball,playing accordion,eating ice cream,shooting basketball,1,4,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000320_climbing ladder_to_brushing hair_eqy-6ByB_qg_000014_000024_bg_Nay7yu0HMM4_000048_000058,climbing ladder,brushing hair,climbing ladder,hurdling,dunking basketball,brushing teeth,brushing hair,1,5,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000321_surfing water_to_catching or throwing frisbee_38ibwbAsJec_000066_000076_bg_fEIv2ECvymg_000002_000012,surfing water,catching or throwing frisbee,reading newspaper,catching or throwing frisbee,surfing water,playing bass guitar,playing piano,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000322_dribbling basketball_to_tying tie_uHR8pakSKkI_000055_000065_bg_E0C2d_EpfNA_000115_000125,dribbling basketball,tying tie,tying tie,juggling soccer ball,dribbling basketball,skiing (not slalom or crosscountry),playing violin,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000323_playing volleyball_to_clean and jerk_BYRSePXrZFY_000003_000013_bg_WzmcmNxVGIs_000031_000041,playing volleyball,clean and jerk,juggling balls,playing volleyball,eating cake,walking the dog,clean and jerk,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000324_playing tennis_to_playing violin_BiPEqlFe9uA_000024_000034_bg_2932HmrpFmM_000000_000010,playing tennis,playing violin,playing tennis,opening bottle,playing violin,golf driving,climbing a rope,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000325_hitting baseball_to_tying tie_GS-PcxmaHmQ_000847_000857_bg_KG7T3DDXQBg_000083_000093,hitting baseball,tying tie,hitting baseball,clean and jerk,tying tie,punching person (boxing),juggling balls,1,3,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000326_brushing hair_to_climbing ladder_63T-_NmyrqA_000032_000042_bg_J5F6Y4bdVLk_000008_000018,brushing hair,climbing ladder,clean and jerk,playing saxophone,climbing ladder,brushing hair,archery,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000327_reading newspaper_to_skiing slalom_hvdAZq0pa_g_000063_000073_bg_tZazt1KDJU0_000017_000027,reading newspaper,skiing slalom,climbing ladder,dunking basketball,reading newspaper,skiing slalom,walking the dog,3,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000328_hurdling_to_bowling_MB5ErocAjTI_000004_000014_bg_Xr_sBDcAEao_000079_000089,hurdling,bowling,skipping rope,playing tennis,playing violin,hurdling,bowling,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000329_shooting basketball_to_skipping rope_83IZbPMEO-0_000035_000045_bg_gn97KDKen_U_000053_000063,shooting basketball,skipping rope,brushing teeth,shooting basketball,flying kite,skipping rope,playing bass guitar,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000330_playing bass guitar_to_cleaning windows_jvih6ILV5og_000262_000272_bg_sn2TKS2zqo0_000061_000071,playing bass guitar,cleaning windows,cleaning windows,shooting basketball,playing bass guitar,skiing slalom,brushing teeth,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000331_climbing a rope_to_playing piano_1c17xEdMHns_000119_000129_bg_ErtSFRpSeDA_000088_000098,climbing a rope,playing piano,playing guitar,climbing a rope,playing piano,archery,playing violin,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000332_opening bottle_to_eating cake_-4szNHl4P0c_000012_000022_bg_2mFclrl0wo8_000044_000054,opening bottle,eating cake,eating cake,catching or throwing baseball,skipping rope,climbing ladder,opening bottle,5,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000333_canoeing or kayaking_to_surfing water_9TPkWhaXoOk_000003_000013_bg_rN3oPdeazbA_000012_000022,canoeing or kayaking,surfing water,playing violin,hurdling,dunking basketball,surfing water,canoeing or kayaking,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000334_playing trumpet_to_eating cake_bNMIsZhrucM_000000_000010_bg_lmEbGdDFuyE_000043_000053,playing trumpet,eating cake,playing piano,cleaning windows,playing trumpet,playing saxophone,eating cake,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000335_brushing teeth_to_opening bottle_5nfCdm_Dab8_000049_000059_bg_fcJzhtpMfgc_000038_000048,brushing teeth,opening bottle,shooting goal (soccer),playing trumpet,opening bottle,eating cake,brushing teeth,5,3,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000336_flying kite_to_playing trumpet_H-aC3KJGvZg_000008_000018_bg_q5HAJ5vpI3M_000001_000011,flying kite,playing trumpet,flying kite,dribbling basketball,climbing ladder,playing trumpet,reading newspaper,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000337_eating ice cream_to_writing_bHejslJylB8_000035_000045_bg_OrWjyz2bFJQ_000064_000074,eating ice cream,writing,eating ice cream,drinking,brushing hair,writing,skipping rope,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000338_playing piano_to_playing trumpet_M1X8UKqQDvA_000074_000084_bg_gpyUJCmt3vE_000363_000373,playing piano,playing trumpet,sweeping floor,golf driving,climbing ladder,playing piano,playing trumpet,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000339_playing bass guitar_to_skiing slalom_--GF746y6UM_000496_000506_bg_RvXnfumvBvQ_000412_000422,playing bass guitar,skiing slalom,playing bass guitar,juggling balls,clean and jerk,playing tennis,skiing slalom,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000340_playing trumpet_to_deadlifting_bXSGKUjch2s_000012_000022_bg_Xx1-h7VaaAo_000013_000023,playing trumpet,deadlifting,deadlifting,eating cake,canoeing or kayaking,writing,playing trumpet,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000341_playing volleyball_to_golf driving_UrxvFL48WiM_000036_000046_bg_n3IbRvlDanU_000048_000058,playing volleyball,golf driving,opening bottle,punching person (boxing),playing volleyball,golf driving,catching or throwing frisbee,3,4,E,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000342_brushing hair_to_climbing ladder_Nay7yu0HMM4_000048_000058_bg_VnlIIuL0WNQ_000000_000010,brushing hair,climbing ladder,sweeping floor,brushing hair,climbing ladder,surfing water,driving car,2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000343_brushing hair_to_playing violin_bLgdi4w7OAk_000002_000012_bg_2932HmrpFmM_000000_000010,brushing hair,playing violin,deadlifting,climbing ladder,walking the dog,brushing hair,playing violin,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000344_dunking basketball_to_skiing slalom_cPW9N51RMf0_000018_000028_bg__mMT4Nt_c-A_000295_000305,dunking basketball,skiing slalom,skiing slalom,dunking basketball,catching or throwing frisbee,playing volleyball,eating cake,2,1,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000345_punching person (boxing)_to_catching or throwing frisbee_TPZkjJgcHZg_000032_000042_bg_ursxaisH0eI_000004_000014,punching person (boxing),catching or throwing frisbee,eating cake,sword fighting,punching person (boxing),catching or throwing frisbee,driving car,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000346_flying kite_to_juggling soccer ball_skexFUHz3_0_000026_000036_bg_WadYg_wkEFQ_000098_000108,flying kite,juggling soccer ball,flying kite,playing accordion,juggling soccer ball,playing piano,opening bottle,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000347_catching or throwing baseball_to_golf driving_YBIe1eukx1k_000016_000026_bg_LaaPuezxneg_000078_000088,catching or throwing baseball,golf driving,climbing ladder,reading book,reading newspaper,catching or throwing baseball,golf driving,4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000348_clean and jerk_to_shooting basketball_3PnYgaQ4vT0_000024_000034_bg_mmGSQfAVPgM_000355_000365,clean and jerk,shooting basketball,shooting basketball,reading newspaper,golf driving,deadlifting,clean and jerk,5,1,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000349_brushing teeth_to_deadlifting_wrlHs_EsLOY_000106_000116_bg_ZSzPVTTiROc_000016_000026,brushing teeth,deadlifting,brushing teeth,archery,playing violin,playing trumpet,deadlifting,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000350_brushing teeth_to_playing tennis_4S1k0vHoTw4_000248_000258_bg_rZehb8BQwc4_000034_000044,brushing teeth,playing tennis,punching person (boxing),playing tennis,brushing teeth,playing bass guitar,eating ice cream,3,2,A,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000351_skiing (not slalom or crosscountry)_to_writing_myRY7zcyklM_001382_001392_bg_SxDOaiY7MnE_000130_000140,skiing (not slalom or crosscountry),writing,brushing teeth,skiing (not slalom or crosscountry),writing,playing volleyball,punching person (boxing),2,3,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000352_walking the dog_to_shooting basketball_I_72JraEBrU_000090_000100_bg_BjFTngjxqnE_000064_000074,walking the dog,shooting basketball,opening bottle,playing tennis,shooting basketball,walking the dog,juggling balls,4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000353_shooting goal (soccer)_to_skiing (not slalom or crosscountry)_JCwEbNqgn2k_000042_000052_bg_5tV4H4r3sDI_000716_000726,shooting goal (soccer),skiing (not slalom or crosscountry),playing guitar,skiing (not slalom or crosscountry),dunking basketball,shooting goal (soccer),reading book,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000354_reading book_to_eating ice cream_yPCC6O5DprM_000404_000414_bg_0L8ZcrRtFxI_001103_001113,reading book,eating ice cream,deadlifting,eating ice cream,climbing a rope,reading book,playing basketball,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000355_playing bass guitar_to_deadlifting_j6Wh4zu5z74_000115_000125_bg_Zm4jkDRzcZc_000003_000013,playing bass guitar,deadlifting,playing bass guitar,skipping rope,playing saxophone,shooting basketball,deadlifting,1,5,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000356_opening bottle_to_catching or throwing baseball_3jBdpKzTfyo_000007_000017_bg_d2RIQkmy9cE_000159_000169,opening bottle,catching or throwing baseball,catching or throwing baseball,deadlifting,opening bottle,surfing water,driving car,3,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000357_driving car_to_dribbling basketball_Wg1fBbnJJn4_000003_000013_bg_GUf3saB0aGg_000035_000045,driving car,dribbling basketball,brushing hair,driving car,climbing ladder,skiing (not slalom or crosscountry),dribbling basketball,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000358_surfing water_to_playing basketball_3tYvVpbcUmc_000000_000010_bg__tLX2urc6I8_000013_000023,surfing water,playing basketball,playing guitar,flying kite,playing basketball,hurdling,surfing water,5,3,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000359_playing saxophone_to_shooting basketball_6dUY8QB2j8g_000031_000041_bg_w68UOpC3bUw_000316_000326,playing saxophone,shooting basketball,playing violin,playing saxophone,flying kite,driving car,shooting basketball,2,5,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000360_walking the dog_to_eating cake_3NlgmP6MDmY_000021_000031_bg_y9sW-lXZKEo_000011_000021,walking the dog,eating cake,drinking,eating cake,skipping rope,hurdling,walking the dog,5,2,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000361_punching person (boxing)_to_catching or throwing frisbee_xxWhTcGLnNM_000015_000025_bg_9RKVtmshPrg_000014_000024,punching person (boxing),catching or throwing frisbee,walking the dog,hitting baseball,bowling,punching person (boxing),catching or throwing frisbee,4,5,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000362_catching or throwing baseball_to_punching person (boxing)_W8Fbjslydzs_000039_000049_bg_aYLvxq4Ox6A_000108_000118,catching or throwing baseball,punching person (boxing),shooting goal (soccer),playing tennis,playing volleyball,punching person (boxing),catching or throwing baseball,5,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000363_dribbling basketball_to_skiing (not slalom or crosscountry)_gmOUGQSpDaQ_000002_000012_bg_GuFI_K7gqwY_000060_000070,dribbling basketball,skiing (not slalom or crosscountry),surfing water,cleaning windows,dribbling basketball,skiing (not slalom or crosscountry),eating ice cream,3,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000364_playing basketball_to_writing_qrX05sAntoA_000064_000074_bg_Ub0rc6U6nfI_000100_000110,playing basketball,writing,playing basketball,writing,clean and jerk,dribbling basketball,flying kite,1,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000365_reading book_to_opening bottle_HA8xX_KydXI_000204_000214_bg_OayCUxccS0w_000002_000012,reading book,opening bottle,reading book,sweeping floor,eating cake,opening bottle,playing accordion,1,4,E,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000366_juggling balls_to_skiing (not slalom or crosscountry)_Ag0HsiBioRI_000042_000052_bg_wOlm2QBlX6s_000234_000244,juggling balls,skiing (not slalom or crosscountry),juggling balls,brushing teeth,walking the dog,skiing (not slalom or crosscountry),playing violin,1,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000367_playing volleyball_to_bowling_oiwb5wDaotw_000175_000185_bg_V7vo_5tif-g_000092_000102,playing volleyball,bowling,playing volleyball,bowling,playing basketball,writing,juggling balls,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000368_cleaning windows_to_catching or throwing baseball_8ciou4_tgD8_000016_000026_bg_F9kCgXa2aTs_000018_000028,cleaning windows,catching or throwing baseball,playing accordion,catching or throwing baseball,cleaning windows,canoeing or kayaking,climbing a rope,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000369_juggling soccer ball_to_shooting basketball_FawHl2-_DAg_000054_000064_bg__mcUXEEzzxM_000008_000018,juggling soccer ball,shooting basketball,flying kite,clean and jerk,juggling soccer ball,eating ice cream,shooting basketball,3,5,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000370_juggling balls_to_drinking_8SZR6USF8s4_000308_000318_bg_SUbVNmEmkOU_000048_000058,juggling balls,drinking,shooting basketball,dribbling basketball,juggling balls,playing violin,drinking,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000371_playing piano_to_climbing a rope_JQz5BkEUqPw_000080_000090_bg_d4i08JKdXXI_000031_000041,playing piano,climbing a rope,reading book,sword fighting,climbing a rope,catching or throwing baseball,playing piano,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000372_reading newspaper_to_shooting basketball_cXsQwIVDsKY_000004_000014_bg_OTbNyKzKBM4_000024_000034,reading newspaper,shooting basketball,hurdling,drinking,shooting basketball,playing violin,reading newspaper,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000373_playing accordion_to_eating cake_k8ahScpAUMc_000105_000115_bg_y9sW-lXZKEo_000011_000021,playing accordion,eating cake,playing basketball,playing accordion,reading book,eating cake,smoking,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000374_playing violin_to_playing volleyball_a4ROubm0cIc_000000_000010_bg_q3cRM4TVVRI_000000_000010,playing violin,playing volleyball,clean and jerk,playing violin,catching or throwing baseball,playing guitar,playing volleyball,2,5,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000375_catching or throwing baseball_to_climbing a rope_-LZ6lnyP0BQ_000102_000112_bg_Vbm68Btft30_000008_000018,catching or throwing baseball,climbing a rope,dunking basketball,catching or throwing baseball,opening bottle,climbing a rope,flying kite,2,4,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000376_smoking_to_playing saxophone_6Q1bpfHknHs_000005_000015_bg_rHY2iPRm9uQ_000002_000012,smoking,playing saxophone,smoking,playing saxophone,playing violin,clean and jerk,catching or throwing baseball,1,2,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000377_climbing ladder_to_clean and jerk_PQ94yoXfTxk_000017_000027_bg_NiYuBZei0aI_000013_000023,climbing ladder,clean and jerk,eating cake,climbing ladder,clean and jerk,sweeping floor,deadlifting,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000378_golf driving_to_canoeing or kayaking_Zi_D4pueRWU_000003_000013_bg_9cIsiB_i6Ic_000075_000085,golf driving,canoeing or kayaking,golf driving,opening bottle,eating cake,hurdling,canoeing or kayaking,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000379_playing saxophone_to_playing tennis_f8cq1C_NRKc_000076_000086_bg_3cohYreibXk_000031_000041,playing saxophone,playing tennis,juggling balls,brushing teeth,flying kite,playing saxophone,playing tennis,4,5,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000380_archery_to_playing tennis_-UJgyiWe500_000029_000039_bg_XUZH1vOt-WQ_000297_000307,archery,playing tennis,reading book,archery,playing accordion,playing tennis,clean and jerk,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000381_playing basketball_to_catching or throwing frisbee_UT-CNhhagS4_000001_000011_bg_ursxaisH0eI_000004_000014,playing basketball,catching or throwing frisbee,playing basketball,juggling balls,catching or throwing frisbee,climbing ladder,writing,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000382_bowling_to_reading newspaper_uwpF9_eAS7I_000125_000135_bg_kRQ3AINof7I_001252_001262,bowling,reading newspaper,hurdling,catching or throwing frisbee,bowling,reading newspaper,playing volleyball,3,4,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000383_playing volleyball_to_hitting baseball_8z-LarQ0vf4_000020_000030_bg_iyHDKRtcqgA_000019_000029,playing volleyball,hitting baseball,hitting baseball,catching or throwing frisbee,reading newspaper,climbing ladder,playing volleyball,5,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000384_skiing (not slalom or crosscountry)_to_punching person (boxing)_BZVvlUhQjjI_000064_000074_bg_nG8_XoYxyIw_000028_000038,skiing (not slalom or crosscountry),punching person (boxing),playing accordion,canoeing or kayaking,playing guitar,skiing (not slalom or crosscountry),punching person (boxing),4,5,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000385_brushing hair_to_hitting baseball_9Y4VWs9AlFA_000582_000592_bg_uoRO19PQEWA_000033_000043,brushing hair,hitting baseball,writing,hitting baseball,brushing hair,playing guitar,eating ice cream,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000386_playing guitar_to_driving car_uvsjCiCNZi4_000045_000055_bg_-54UGh2sZZk_000035_000045,playing guitar,driving car,driving car,playing bass guitar,playing saxophone,writing,playing guitar,5,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000387_canoeing or kayaking_to_hitting baseball_7Y634PdmHfg_000002_000012_bg_LhD_fnHt_xg_000014_000024,canoeing or kayaking,hitting baseball,hurdling,hitting baseball,canoeing or kayaking,dribbling basketball,walking the dog,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000388_playing violin_to_opening bottle_EurLx7PG7S4_000026_000036_bg_HJXT067oOi8_000000_000010,playing violin,opening bottle,catching or throwing frisbee,skiing slalom,playing violin,dribbling basketball,opening bottle,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000389_skiing (not slalom or crosscountry)_to_playing tennis_7vK_srXDU-8_000052_000062_bg_4516t11fQWM_000028_000038,skiing (not slalom or crosscountry),playing tennis,cleaning windows,walking the dog,playing tennis,juggling soccer ball,skiing (not slalom or crosscountry),5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_000390_walking the dog_to_bowling_TcUja1l9Qlk_000048_000058_bg_6V6DgC9u7Y0_000000_000010,walking the dog,bowling,climbing a rope,walking the dog,sweeping floor,playing trumpet,bowling,2,5,E,False,True
